id|codigo|nome|max(ects)|uo_id|ac_id
0|81554|CONTABILIDADE FINANCEIRA APLICADA|6|0|16
0|90150|PORTUGUÊS II|6|0|16
0|40015|CONHECIMENTO E ESTRATÉGIA EM TURISMO|6|0|16
0|40565|PSICOPATOLOGIA II: ADULTO E IDOSO|6|0|16
0|40944|MECÂNICA DA FRACTURA|6|0|16
0|41505|SISTEMAS EMBUTIDOS E DE TEMPO REAL|6|0|16
0|42116|ESTUDOS ECONÓMICOS APLICADOS|6|0|16
0|42193|ELEMENTOS DE ELECTRÓNICA INDUSTRIAL|6|0|16
0|48071|SEGURANÇA E MICROBIOLOGIA ALIMENTAR|6|0|16
0|81530|FISCALIDADE AVANÇADA|6|0|16
0|90355|MATERIAIS|6|0|16
0|99944|PROJECTO TEMÁTICO EM INSTRUMENTAÇÃO INDUSTRIAL|6|0|16
0|40017|METODOLOGIAS DE INVESTIGAÇÃO EM TURISMO|6|0|16
0|40817|MECÂNICA I|6|0|16
0|42331|ENZIMOLOGIA|6|0|16
0|43948|EMPREENDEDORISMO|6|0|16
0|47089|ENERGIA DOS PROCESSOS METABÓLICOS|6|0|16
0|81449|INTRODUÇÃO AO DIREITO DAS EMPRESAS|6|0|16
0|41607|INVESTIGAÇÃO CLÍNICA|6|0|16
0|41996|INTRODUÇÃO À ENGENHARIA COMPUTACIONAL|2|0|16
0|42884|BIOLOGIA MOLECULAR E CELULAR|6|0|16
0|43353|METODOLOGIA DE INVESTIGAÇÃO|6|0|16
0|46115|SUPERFÍCIES E INTERFACES|6|0|16
0|46894|INSTITUIÇÕES E POLÍTICAS EUROPEIAS|6|0|16
0|47897|DIDÁCTICA DAS EXPRESSÕES E COMUNICAÇÃO|4|0|16
0|47899|EXPRESSÕES ARTÍSTICAS II|8|0|16
0|81457|INTRODUÇÃO À CONTABILIDADE DE GESTÃO|6|0|16
0|90349|MODELAÇÃO 3D|4|0|16
0|99259|TÉCNICAS DE SECRETARIADO II|6|0|16
0|40125|ILUSTRAÇÃO ARQUEOLÓGICA E PALEONTOLÓGICA|6|0|16
0|40578|PSICOLOGIA DA EMOÇÃO E DA MOTIVAÇÃO|6|0|16
0|46456|MARKETING E ESTRATÉGIAS DIGITAIS|6|0|16
0|47756|PROGRAMAÇÃO MATEMÁTICA|6|0|16
0|47830|TECNOLOGIAS AVANÇADAS DA PRODUÇÃO|6|0|16
0|47845|TIPOLOGIAS DA EDIÇÃO|8|0|16
0|81508|CONTABILIDADE E CONTROLO DE GESTÃO|6|0|16
0|81519|TENDÊNCIAS EM CONTROLO DE GESTÃO|6|0|16
0|81528|CONTABILIDADE PÚBLICA|6|0|16
0|90254|REDES DE COMUNICAÇÃO|3|0|16
0|99258|INGLÊS - TECNOLOGIAS DE TRADUÇÃO|6|0|16
0|18177|ORGANIZAÇÃO E GESTÃO DA PRODUÇÃO|6|0|16
0|40114|BIOQUÍMICA E BIOFÍSICA|4|0|16
0|40724|ÉTICA E DEONTOLOGIA PROFISSIONAL|4|0|16
0|41680|ENERGIA NOS EDIFÍCIOS|6|0|16
0|42012|SOCIOLOGIA E METODOLOGIA EM TURISMO|6|0|16
0|46865|ESPANHOL V-TÉCNICAS DE EXPRESSÃO|6|0|16
0|47539|ECONOMETRIA APLICADA|6|0|16
0|41354|GESTÃO DE DADOS E INFORMAÇÃO|6|0|16
0|41525|FUNDAMENTOS EM EPIDEMIOLOGIA E SAÚDE PÚBLICA|6|0|16
0|41696|GESTÃO INTEGRADA DE ECOSSISTEMAS MARINHOS|6|0|16
0|42026|HISTÓRIA DA ARQUITETURA, DAS ESTRUTURAS E TÉCNICAS CONSTRUTIVAS|6|0|16
0|44268|INICIAÇÃO À PRÁTICA DE ENSINO DO INGLÊS|8|0|16
0|47167|MATEMÁTICA PARA AS CIÊNCIAS SOCIAIS|8|0|16
0|81527|PRÁTICAS DE AUDITORIA FINANCEIRA|6|0|16
0|90271|INGLÊS APLICADO À GESTÃO|6|0|16
0|40595|RUSSO - PROJECTO DE APLICAÇÃO|6|0|16
0|41585|FARMACOLOGIA E TERAPÊUTICA 2|6|0|16
0|44533|COMPETÊNCIAS EM EMPREENDEDORISMO|3|0|16
0|44535|CULTURA PORTUGUESA CONTEMPORÂNEA|6|0|16
0|45160|LITERATURA INFANTO-JUVENIL|8|0|16
0|47184|MODELOS ESTATÍSTICOS|6|0|16
0|47389|INDICADORES BIOLÓGICOS DE POLUIÇÃO|6|0|16
0|47971|INTERACÇÃO CULTURAL E COMUNICAÇÃO|6|0|16
0|90399|LABORATÓRIOS DE PROGRAMAÇÃO|6|0|16
0|18010|SISTEMAS OPERATIVOS|6|0|16
0|41240|MACROECONOMIA I|6|0|16
0|41643|OCEANOGRAFIA BIOLÓGICA|6|0|16
0|42083|REDES COM INTEGRAÇÃO DE SERVIÇOS|6|0|16
0|42573|SEGURANÇA INFORMÁTICA E NAS ORGANIZAÇÕES|6|0|16
0|45727|GESTÃO DA QUALIDADE|6|0|16
0|46051|TRADUÇÃO PORTUGUÊS - CHINÊS|6|0|16
0|81537|MARKETING I|6|0|16
0|82115|FINANÇAS EMPRESARIAIS I|6|0|16
0|90396|PROGRAMAÇÃO ORIENTADA A OBJETOS|6|0|16
0|99252|ÉTICA E DEONTOLOGIA|6|0|16
0|40120|ILUSTRAÇÃO BOTÂNICA|6|0|16
0|41149|GEOLOGIA DE PORTUGAL|6|0|16
0|41313|CONTABILIDADE E RELATO FINANCEIRO|6|0|16
0|44850|ELETRÓNICA INDUSTRIAL|4|0|16
0|45619|PATOLOGIA CLÍNICA I|6|0|16
0|47960|GEOLOGIA DE CAMPO|6|0|16
0|83112|DIREITO FISCAL|6|0|16
0|40688|OBSERVAÇÃO EM EDUCAÇÃO|6|0|16
0|41266|ENGENHARIA DE SISTEMAS|6|0|16
0|41361|REGIMES E SISTEMAS POLÍTICOS|6|0|16
0|42015|PROJETO E CONSULTADORIA EM TURISMO|6|0|16
0|42642|ALEMÃO V-TÉCNICAS DE EXPRESSÃO|6|0|16
0|44551|HERMENÊUTICAS CULTURAIS|6|0|16
0|44854|MODELAÇÃO I|6|0|16
0|46891|ESPANHOL VI|6|0|16
0|47046|CARTOGRAFIA E TÉCNICAS DE INFORMÁTICA|6|0|16
0|47133|INSTRUMENTAÇÃO E ELECTROTECNIA APLICADA|6|0|16
